# title_pages_by_crc — кросс-проектная reference-таблица (crc32 → титульные страницы + confidence). Источник: Checker title-detector (opus_checker@e4b32dc, tools_heading/title_zone.py). Прогон 2026-06-17: 451 bundle, confidence high 443 / low 8. Делимитер ; (в file_name есть запятые). Джойн по crc32 (DEC-20260615-006). confidence=high → найден текст-якорь «ПРОЕКТНАЯ ДОКУМЕНТАЦИЯ» (детектор cover_end exact 100%/±1 100% на 34 taxonomy); low → аномалия (image_title/no_title/…). Строки # пропускать при чтении.
crc32;file_name;cover_pages;title_anchor_pages;anomaly;confidence
8b65dd24;Раздел ПД N 13 ИД_ г.Подольск, мкр-н Климовск, ул. Симферопольская, д. 49к5.pdf;1-2;"1;2";;high
931c0213;Раздел ПД N 13 ИД_ г.Подольск, мкр-н Климовск, ул. Симферопольская, д. 49к5.pdf;1-2;"1;2";;high
b448fb6a;Раздел ПД N 13 ИД_ г.Подольск, мкр-н Климовск, ул. Симферопольская, д. 7.pdf;1-2;"1;2";;high
7506b7d8;Раздел ПД N 13 ИД_50 лет Октября, д. 22а.pdf;1-2;"1;2";;high
d728877a;Раздел ПД N 13 ИД_50 лет Октября, д. 24.pdf;1-2;"1;2";;high
58be0869;Раздел ПД N 13 ИД_Октябрьская площадь, д. 4.pdf;1-2;"1;2";;high
91e15bbe;Раздел ПД N 13 ИД_Октябрьская площадь, д. 5.pdf;1-2;"1;2";;high
e1e74e11;Раздел ПД N 13 ИД_ул. Западная, д. 10.pdf;1-2;"1;2";;high
3b4aa686;Раздел ПД N 13 ИД_ул. Западная, д.6.pdf;1-2;"1;2";;high
40f57f00;Раздел ПД N 13 ИД_ул. Западная, д.8.pdf;1-2;"1;2";;high
125c04e4;Раздел ПД N 13 ИД_ул. Западная, д.9.pdf;1-2;"1;2";;high
5f0c4702;Раздел ПД N 13 ИД_ул. Молодежная, д.3.pdf;1-2;2;;high
4ba3ed05;Раздел ПД N 13 ИД_ул. Революции, д. 6.pdf;1-2;"1;2";;high
801fee11;Раздел ПД N 13 ИД_ул. Симферопольская, д. 11.pdf;1-2;"1;2";;high
df6a5246;Раздел ПД N 13 ИД_ул. Симферопольская, д. 11.pdf;1-2;"1;2";;high
ee7169e6;Раздел ПД N 13 ИД_ул. Симферопольская, д. 13.pdf;1-2;"1;2";;high
e4e33fd6;Раздел ПД N 13 ИД_ул. Симферопольская, д. 25.pdf;1-2;"1;2";;high
056bc075;Раздел ПД N 13 ИД_ул. Симферопольская, д. 31.pdf;1-2;"1;2";;high
1118fad9;Раздел ПД N 13 ИД_ул. Симферопольская, д.13.pdf;1-2;"1;2";;high
3f83935d;Раздел ПД N 13 ИД_ул. Симферопольская, д.15.pdf;1-2;"1;2";;high
556ea991;Раздел ПД N 13 ИД_ул. Симферопольская, д.17.pdf;1-2;"1;2";;high
bc2eecef;Раздел ПД N 13 ИД_ул.Западная, д.9.pdf;1-2;2;;high
13c8fb4d;Раздел ПД N 13 ИД_ул.Молодежная, д. 2к1.pdf;1-2;2;;high
94ee0de6;Раздел ПД N 13 ИД_ул.Молодежная, д.2к2.pdf;1-2;2;;high
3d2969fd;Раздел ПД N 13 ИД_ул.Симферопольская, д.49, к.2.pdf;1-2;"1;2";;high
31abfac2;Раздел ПД N 13 ИД_ул.Симферопольская, д.49к2.pdf;1-2;"1;2";;high
dac7aeae;Раздел ПД N 3  АР_50 лет Октября, д. 12а.pdf;1-2;"1;2";;high
81b87b38;Раздел ПД N 3  АР_50 лет Октября, д. 22А.pdf;1-2;"1;2";;high
26136323;Раздел ПД N 3  АР_50 лет Октября, д. 24.pdf;1-2;"1;2";;high
3d493363;Раздел ПД N 3  АР_Октябрьская площадь, д. 4.pdf;1-2;"1;2";;high
71d1a4a9;Раздел ПД N 3  АР_Октябрьская площадь, д. 5.pdf;1-2;"1;2";;high
6a3133e2;Раздел ПД N 3  АР_проспект 50 лет Октября, д. 16Б.pdf;1-2;"1;2";;high
f89b2c43;Раздел ПД N 3  АР_проспект 50 лет Октября, д. 24А.pdf;1-2;"1;2";;high
d63bde6f;Раздел ПД N 3  АР_ул. Заводская, д. 12.pdf;1-2;"1;2";;high
52decb29;Раздел ПД N 3  АР_ул. Заводская, д. 4б.pdf;1-2;"1;2";;high
f79627e6;Раздел ПД N 3  АР_ул. Западная, д. 10.pdf;1-2;"1;2";;high
89a48c93;Раздел ПД N 3  АР_ул. Западная, д. 6.pdf;1-2;"1;2";;high
9728a6a9;Раздел ПД N 3  АР_ул. Западная, д. 8.pdf;1-2;"1;2";;high
72c2cd73;Раздел ПД N 3  АР_ул. Западная, д. 9.pdf;1-2;"1;2";;high
9e424bf6;Раздел ПД N 3  АР_ул. Западная, д. 9.pdf;1-2;"1;2";;high
f5bef876;Раздел ПД N 3  АР_ул. Молодежная, д. 2, к. 1.pdf;1-2;"1;2";;high
f2eaf456;Раздел ПД N 3  АР_ул. Молодежная, д. 2, к. 2.pdf;1-2;"1;2";;high
3c29db02;Раздел ПД N 3  АР_ул. Молодежная, д. 3.pdf;1-2;"1;2";;high
b321064b;Раздел ПД N 3  АР_ул. Первомайская, д. 1.pdf;1-2;"1;2";;high
a8499151;Раздел ПД N 3  АР_ул. Первомайская, д. 3.pdf;1-2;"1;2";;high
cd6c6e97;Раздел ПД N 3  АР_ул. Революции, д. 6.pdf;1-2;"1;2";;high
96e96f2d;Раздел ПД N 3  АР_ул. Симферопольская, д. 11.pdf;1-2;"1;2";;high
984f5a08;Раздел ПД N 3  АР_ул. Симферопольская, д. 11.pdf;1-2;"1;2";;high
4f7ff219;Раздел ПД N 3  АР_ул. Симферопольская, д. 13.pdf;1-2;"1;2";;high
9311551b;Раздел ПД N 3  АР_ул. Симферопольская, д. 13.pdf;1-2;"1;2";;high
4c636987;Раздел ПД N 3  АР_ул. Симферопольская, д. 15.pdf;1-2;"1;2";;high
74a87490;Раздел ПД N 3  АР_ул. Симферопольская, д. 17.pdf;1-2;"1;2";;high
3457e2f0;Раздел ПД N 3  АР_ул. Симферопольская, д. 25.pdf;1-2;"1;2";;high
fff68ef1;Раздел ПД N 3  АР_ул. Симферопольская, д. 31.pdf;1-2;"1;2";;high
ddb56c21;Раздел ПД N 3  АР_ул. Симферопольская, д. 33.pdf;1-2;"1;2";;high
54651696;Раздел ПД N 3  АР_ул. Симферопольская, д. 49, к. 5.pdf;1-2;"1;2";;high
ff99242f;Раздел ПД N 3  АР_ул. Симферопольская, д. 49, к. 5.pdf;1-2;"1;2";;high
3bbacb34;Раздел ПД N 3  АР_ул. Симферопольская, д. 7.pdf;1-2;"1;2";;high
8fb0b80d;Раздел ПД N 3  АР_ул. Симферопольская, д.49к2.pdf;1-2;"1;2";;high
95f69d3b;Раздел ПД N 3  АР_ул. Симферопольская, д.49к2.pdf;1-2;"1;2";;high
663eae5e;Раздел ПД N 3  АР_ул. Театральная, д. 4.pdf;1-2;"1;2";;high
46b1203e;Раздел ПД N 4  КР_50 лет Октября, д. 12а.pdf;1-2;"1;2";;high
ae73204b;Раздел ПД N 4  КР_50 лет Октября, д. 22А.pdf;1-2;"1;2";;high
dfc0b34b;Раздел ПД N 4  КР_50 лет Октября, д. 24.pdf;1-2;"1;2";;high
7cd4d30d;Раздел ПД N 4  КР_Октябрьская площадь, д. 4.pdf;1-2;"1;2";;high
a99dd5c2;Раздел ПД N 4  КР_Октябрьская площадь, д. 5.pdf;1-2;"1;2";;high
7b8109a4;Раздел ПД N 4  КР_проспект 50 лет Октября, д. 16Б.pdf;1-2;"1;2";;high
b4f53ea9;Раздел ПД N 4  КР_проспект 50 лет Октября, д. 24А.pdf;1-2;"1;2";;high
d5b29eb6;Раздел ПД N 4  КР_ул. Заводская, д. 12.pdf;1-2;"1;2";;high
fc48eb5b;Раздел ПД N 4  КР_ул. Заводская, д. 4б.pdf;1-2;"1;2";;high
edd28ea4;Раздел ПД N 4  КР_ул. Западная, д. 10.pdf;1-2;"1;2";;high
8fdc19a4;Раздел ПД N 4  КР_ул. Западная, д. 6.pdf;1-2;"1;2";;high
77ae9d0b;Раздел ПД N 4  КР_ул. Западная, д. 8.pdf;1-2;"1;2";;high
46d7ea0a;Раздел ПД N 4  КР_ул. Западная, д. 9.pdf;1-2;"1;2";;high
cc4350d0;Раздел ПД N 4  КР_ул. Западная, д. 9.pdf;1-2;"1;2";;high
ead01bac;Раздел ПД N 4  КР_ул. Молодежная, д. 2, к. 1.pdf;1-2;"1;2";;high
555df53d;Раздел ПД N 4  КР_ул. Молодежная, д. 2, к. 2.pdf;1-2;"1;2";;high
35001af6;Раздел ПД N 4  КР_ул. Молодежная, д. 3.pdf;1-2;"1;2";;high
15779ffe;Раздел ПД N 4  КР_ул. Первомайская, д. 1.pdf;1-2;"1;2";;high
0d76ccbd;Раздел ПД N 4  КР_ул. Первомайская, д. 3.pdf;1-2;"1;2";;high
2b86f7e7;Раздел ПД N 4  КР_ул. Революции, д. 6.pdf;1-2;"1;2";;high
93cc45b2;Раздел ПД N 4  КР_ул. Симферопольская, д. 11.pdf;1-2;"1;2";;high
a624e984;Раздел ПД N 4  КР_ул. Симферопольская, д. 11.pdf;1-2;"1;2";;high
1c26ce53;Раздел ПД N 4  КР_ул. Симферопольская, д. 13.pdf;1-2;"1;2";;high
3f3c08e5;Раздел ПД N 4  КР_ул. Симферопольская, д. 13.pdf;1-2;"1;2";;high
5610f102;Раздел ПД N 4  КР_ул. Симферопольская, д. 15.pdf;1-2;"1;2";;high
f9b78b28;Раздел ПД N 4  КР_ул. Симферопольская, д. 17.pdf;1-2;"1;2";;high
2c9a7114;Раздел ПД N 4  КР_ул. Симферопольская, д. 25.pdf;1-2;"1;2";;high
60811541;Раздел ПД N 4  КР_ул. Симферопольская, д. 31.pdf;1-2;"1;2";;high
7140c589;Раздел ПД N 4  КР_ул. Симферопольская, д. 33.pdf;1-2;"1;2";;high
96d6ed23;Раздел ПД N 4  КР_ул. Симферопольская, д. 49, к. 5.pdf;1-2;"1;2";;high
9cc4f54c;Раздел ПД N 4  КР_ул. Симферопольская, д. 49, к. 5.pdf;1-2;"1;2";;high
2b105f3d;Раздел ПД N 4  КР_ул. Симферопольская, д. 7.pdf;1-2;"1;2";;high
6bf2bb7c;Раздел ПД N 4  КР_ул. Симферопольская, д.49к2.pdf;1-2;"1;2";;high
82cbcce7;Раздел ПД N 4  КР_ул. Симферопольская, д.49к2.pdf;1-2;"1;2";;high
cf7d971e;Раздел ПД N 4  КР_ул. Театральная, д. 4.pdf;1-2;"1;2";;high
7e686c2f;Раздел ПД N 5  ИОС5.4.1_50 лет Октября, д. 12а.pdf;1-2;"1;2";;high
004f5be6;Раздел ПД N 5  ИОС5.4.1_50 лет Октября, д. 24.pdf;1-2;"1;2";;high
5c977429;Раздел ПД N 5  ИОС5.4.1_50 лет октября, д. 22а.pdf;1-2;"1;2";;high
1508e9d6;Раздел ПД N 5  ИОС5.4.1_Заводская, д. 4б от.pdf;1-2;"1;2";;high
42c8a25c;Раздел ПД N 5  ИОС5.4.1_Западная, д. 10.pdf;1-2;"1;2";;high
72d32b7a;Раздел ПД N 5  ИОС5.4.1_Западная, д. 6.pdf;1-2;"1;2";;high
c7249d79;Раздел ПД N 5  ИОС5.4.1_Западная, д. 8.pdf;1-2;"1;2";;high
64a90bd4;Раздел ПД N 5  ИОС5.4.1_Западная, д. 9.pdf;1-2;"1;2";;high
8579ea60;Раздел ПД N 5  ИОС5.4.1_Западная, д. 9.pdf;1-2;"1;2";;high
bc754d98;Раздел ПД N 5  ИОС5.4.1_Молодежная, д.2 к.2.pdf;1-2;"1;2";;high
f323f16c;Раздел ПД N 5  ИОС5.4.1_Октябрьская пл., д. 5 гвс.pdf;1-2;"1;2";;high
4f72940d;Раздел ПД N 5  ИОС5.4.1_Октябрьская площадь д.4.pdf;1-2;"1;2";;high
2a2318a8;Раздел ПД N 5  ИОС5.4.1_Проспект 50 лет октября д.24а.pdf;1-2;"1;2";;high
4a4a4752;Раздел ПД N 5  ИОС5.4.1_Революции, д. 6 от.pdf;1-2;"1;2";;high
c8e972bf;Раздел ПД N 5  ИОС5.4.1_Симферопольская, д. 11 гвс.pdf;1-2;"1;2";;high
10be5f2b;Раздел ПД N 5  ИОС5.4.1_Симферопольская, д. 11 отоп.pdf;1-2;"1;2";;high
38f4f5d0;Раздел ПД N 5  ИОС5.4.1_Симферопольская, д. 13 гвс.pdf;1-2;"1;2";;high
34aaf5e6;Раздел ПД N 5  ИОС5.4.1_Симферопольская, д. 13 отоп.pdf;1-2;"1;2";;high
cd5cffd0;Раздел ПД N 5  ИОС5.4.1_Симферопольская, д. 15 отоп.pdf;1-2;"1;2";;high
789b0506;Раздел ПД N 5  ИОС5.4.1_Симферопольская, д. 17 отоп.pdf;1-2;"1;2";;high
af399e60;Раздел ПД N 5  ИОС5.4.1_Симферопольская, д. 25 гвс.pdf;1-2;"1;2";;high
ca418c3d;Раздел ПД N 5  ИОС5.4.1_Симферопольская, д. 31 отоп.pdf;1-2;"1;2";;high
